pep length_3,pep length_4,pep length_5,pep length_8,pep length_9,pep length_10,APBS_Ligand,CHARMM,ElectDD,PLANTS_CHEMPLP,PLANTS_CHEMPLP_NORM_WEIGHT,PLANTS_CHEMPLP_RB_PEN_NORM_CRT_HEVATOMS,PLANTS_CHEMPLP_NORM_CONTACT,RPScore_Norm_LigContacts,RPScore_LigContacts,RPScore_RecContacts,XS_HPScore,XS_HSScore,DPSA1,PPSA1,MOMI-Z,PBF,PNSA1:nrb,WNSA2:nrb,RNCS:nrb,RPCS:nha,RPCS:nrb,MOMI-Z:nrb,Region 1,psi_prob
0,0,1,0,0,0,-55.788017,-70.808891,-10.460836,-133.559006,-0.26471,-30.436199,-3.17997,-0.612,5,23,7.64,8.04,199.74010103343352,510.5703106278975,1802.9643534415443,0.7013608095177963,14.128645890657454,-59.22371505882904,14.94324980227143,0.0,0.0,81.95292515643384,0.2,0.01012722321412131
0,0,1,0,0,0,-53.284851,-76.393921,-10.003497,-129.235992,-0.256142,-29.1147,-3.07705,-0.612,5,23,7.59,7.98,196.58924535211503,510.3155908855149,1846.185126909415,0.707048360007214,14.260288433336358,-59.967750316605176,15.066747734521607,0.0561375092207175,0.0893096737602324,83.91750576860977,0.2,0.008862826522490952
0,0,1,0,0,0,-52.869785,-66.372192,-10.062338,-132.328003,-0.262271,-30.059999,-3.15068,-0.612,5,23,7.67,8.07,228.52815930673108,529.1129098400046,1821.4925146349544,0.7014059941097461,13.662943206057887,-57.85011962842593,16.091780572198076,0.0,0.0,82.79511430158882,0.2,0.01036814010876581
0,0,1,0,0,0,-54.614334,-55.437756,-10.699558,-138.613998,-0.274729,-31.9816,-3.22358,-0.594,5,22,7.64,8.11,185.5789670343344,502.0553408494601,1842.80035185624,0.8619208862329195,14.385289718869352,-60.08890044160298,13.905867171369945,0.0280687546103587,0.0446548368801162,83.76365235710182,0.2,0.008772159183078453
0,0,1,0,0,0,-49.541668,593717952.0,-9.572809,-125.767998,-0.249268,-28.054399,-2.85836,-0.638,5,21,7.47,7.96,186.64174078873145,498.462101233238,1983.2992407044055,0.8122396648846518,14.17365274747757,-58.60819686088885,13.411875442369237,0.0,0.0,90.1499654865639,0.6,0.009696695084524871
0,0,1,0,0,0,-57.035542,133.751053,-11.759026,-116.575996,-0.231049,-25.2442,-2.84331,-0.524,5,19,7.16,7.5,213.235344971082,511.655708765821,2730.5510575112785,1.0869465990783398,13.564561990669954,-56.07531372151154,16.33877643669843,0.0,0.0,124.11595715960355,0.2,0.007282504621683883
0,0,1,0,0,0,-43.446655,-23.076996,-10.525344,-109.955002,-0.217927,-23.2202,-2.68182,-0.482,5,17,6.89,7.26,215.91556106601217,515.7830928794597,2889.004473493524,1.0847186379244729,13.630342355156705,-56.735001437032494,13.807068825569798,1.0666126751936331,1.6968838014444168,131.31838515879653,0.0,0.007531608734893161
0,0,1,0,0,0,-44.015182,69.811493,-16.446693,-99.503899,-0.197214,-20.025299,-2.31404,-0.662,5,19,6.96,7.26,109.06341404285934,441.3044610522886,2823.1982982892832,0.9753080296876508,15.101865773155875,-59.61514536819296,20.01901481775371,0.3087563007139465,0.4912032056812785,128.3271953767856,0.2,0.0063548189514655
0,0,1,0,0,0,-59.412872,-26.373426,-13.833907,-99.3507,-0.19691,-19.978399,-2.42319,-0.42,5,18,6.62,6.89,175.40542782937706,488.45642361678017,2550.288474772691,1.1216289999436138,14.229590717609232,-58.202292139456354,20.105463370328835,1.852537804283679,2.9472192340876715,115.9222033987587,0.2,0.006382305819898693
0,0,1,0,0,0,-54.715702,129.705338,-22.733995,-102.741997,-0.203632,-21.0152,-2.44624,-0.624,5,21,7.16,7.6,190.99406564039836,502.9750310368525,1729.9742380929092,1.0198821677993657,14.180952972566097,-58.97659693341973,20.25366088902905,0.1403437730517938,0.2232741844005811,78.63519264058678,0.4,0.008154939795340776
0,0,1,0,0,0,-47.647675,296.76651,-1.919519,-85.429802,-0.16932,-15.7227,-2.19051,-0.372,5,17,6.39,6.63,151.95994432366086,423.62201417618905,3283.2368913450123,1.431981330580091,12.348275902387645,-43.81358045940099,3.865485279430543,0.0,0.0,149.23804051568237,0.2,0.003003193145775798
0,0,1,0,0,0,-50.700771,-20.309265,-10.765862,-84.7174,-0.167908,-15.5049,-2.22941,-0.572,5,15,5.9,6.2,186.7387867490258,469.1246160154439,2770.324639893864,1.5281755203303815,12.835719512109916,-49.22609351166786,21.229294553805445,0.1403437730517938,0.2232741844005811,125.92384726790289,0.0,0.001380394187588346
0,0,1,0,0,0,-53.179371,285.023682,-12.424108,-87.376404,-0.173177,-16.317699,-2.13113,-0.634,5,16,6.25,6.55,162.84903091131946,442.05510012325897,2940.26221204958,1.154832048192025,12.691184964179069,-46.712687937674666,10.225628790314666,0.0280687546103587,0.0446548368801162,133.64828236589,0.0,0.001584592917697374
0,0,1,0,0,0,-48.001862,417.815063,-18.980776,-88.719704,-0.17584,-16.728399,-2.16389,-0.45,5,19,7.11,7.4,173.05393515786108,484.41896083277226,1916.3000622076304,0.8795029664473625,14.152955712495965,-57.47546269461704,16.956266097949317,0.0,0.0,87.10454828216503,0.2,0.005440904196519313
0,0,1,0,0,0,-47.625092,499.875488,-3.400726,-87.736603,-0.173891,-16.427799,-2.13992,-0.508,5,18,6.34,6.69,214.0125700771596,483.461217551266,3548.384568098377,1.4364480737070813,12.247665794277564,-47.05832312911073,8.558406704937273,0.364893809934664,0.580512879441511,161.29020764083532,0.2,0.003458441474292147
0,0,1,0,0,0,-52.593845,178.005707,-7.411631,-85.225098,-0.168914,-15.6601,-2.07866,-0.474,5,14,6.18,6.54,254.1542711916873,476.05878455151526,3306.4293787719744,1.4514203029487456,10.08656878908309,-35.92660454540394,15.43724153127214,0.0842062638310763,0.1339645106403487,150.2922444896352,0.2,0.002799228502767472
0,0,1,0,0,0,-48.005135,-19.690069,-8.527758,-81.677498,-0.161883,-14.5755,-2.14941,-0.356,5,16,6.01,6.16,217.12110029501213,484.6478693679071,2491.820879761348,1.1664952987370236,12.16030768513159,-46.67704804814669,16.919216718274264,0.0,0.0,113.26458544369764,0.0,0.001077694453349097
0,0,1,0,0,0,-43.817093,267.775574,-7.445891,-76.6334,-0.151885,-13.0335,-1.96496,-0.352,5,17,6.15,6.4,191.18530407057077,467.59283148474645,3130.3675974005764,1.1908974374270298,12.563978518826168,-47.7024256262958,15.968282639947905,0.1403437730517938,0.2232741844005811,142.28943624548074,0.0,0.003801509995736038
0,0,1,0,0,0,-49.156853,399.916138,-3.680096,-74.553703,-0.147763,-12.3977,-1.96194,-0.75,5,13,5.88,6.12,219.35261411732557,465.4715927268155,3338.74303109873,1.3572191313104018,11.187226300431362,-40.62494080079006,6.8911846195598825,0.0,0.0,151.7610468681241,0.0,0.001726499501878934
0,0,1,0,0,0,-55.69585,101.852615,-11.994742,-79.915802,-0.158391,-14.037,-1.94917,-0.576,5,20,6.53,6.73,156.3751479802147,481.43447239396414,1688.6212368142697,1.2015858294972008,14.77542383698861,-60.81085530017594,20.48830696030438,0.0,0.0,76.75551076428498,0.0,0.005080457027823099
0,0,1,0,0,0,-52.245525,4497.998047,-4.087908,-74.841797,-0.148334,-12.4858,-1.91902,-0.342,5,15,6.18,6.48,231.9556737649508,469.8972314857282,3114.226039086752,1.3289798596882882,10.815525350944426,-39.06808379436493,4.260678662631111,0.0,0.0,141.5557290493978,0.4,0.004570685200147381
0,0,1,0,0,0,-53.271107,182.898666,-5.507554,-73.879501,-0.146427,-12.1916,-1.9442,-0.558,5,16,6.21,6.44,182.8369122032588,463.0455113202369,3177.5954402582847,1.2654698771154949,12.736754505317188,-48.30991024418312,21.673887109906083,0.0,0.0,144.43615637537658,0.0,0.003880147734166286
0,0,1,0,0,0,-44.229374,-30.913013,-4.979535,-76.777702,-0.152171,-13.0776,-2.07507,-0.512,5,15,5.82,6.02,181.89775053276065,452.1795338751588,2770.472900960945,1.3963576330629206,12.285535606472642,-45.2948500660406,14.04171489684514,0.6736501106486106,1.0717160851227896,125.93058640731566,0.0,0.001344835317444887
0,0,0,0,0,1,-393.303253,654.791931,-108.065277,-102.795998,-0.103921,-19.995001,-1.44783,0.312,10,17,7.26,7.63,757.429682488186,1056.2186418760116,5762.304299256357,1.5227329409510744,29.87889593878256,-296.9964356890226,58.2871871173772,3.5140855011080454,24.95000705786712,576.2304299256357,1.0,0.007406089456164337
0,0,0,0,0,1,-372.092316,-34.559128,-72.859283,-120.714996,-0.122036,-24.322399,-1.70021,0.216,10,18,7.22,7.56,730.6032644121335,1048.66657762053,6203.916809392453,1.5274747753622335,31.806331320839643,-318.8902429201419,60.39192425449964,2.4878075972642355,17.663433940576073,620.3916809392452,0.75,0.006267047561035016
